thought_nnp 	is thought	cognitive distortion	subcategory
i_subj_prp 'll_md never_rb get_vb her_subj_prp to_to understand_vb wher_subje_wrb i_subj_fw am_vbp comi_subjng_vbg from_i_subjn 	y	absolute	black and white thinking
of_in course_nn this_dt shit_subj_nn would_md happen_vb to_to me_prp !_. 	y	absolute	labeling
``_`` i_subj_prp miss_vbp my_prp$ dad_nn ._. ''_'' 	emotion	-	-
i_subj_prp feel_vbp so_rb bad_jj for_i_subjn her_prp$ right_nn now_rb ._. 	emotion	-	-
she_subj_prp must_md be_vb so_rb emarrassed_jj ._. 	y	making guesses	mindreading
i_subj_prp feel_vbp like_i_subjn yelling_vbg at_i_subjn the_dt kid_nn who_subj_wp did_vbd thus_rb ._. 	emotion	-	-
that_dt man_subj_nn is_vbz dead_jj ._. 	situation	-	-
i_subj_prp 'm_vbp seeing_vbg a_dt dead_jj body_nn ._. 	situation	-	-
oh_uh boy_uh ,_, is_vbz dan_subj_nnp going_vbg to_to get_vb mad_jj at_in me_prp for_in this_dt one_cd !_. 	y	making guesses	fortune telling
how_wrb dare_vbp she_subj_prp ruin_vb that_dt project_nn by_in pretending_vbg she_subj_prp 's_vbz qualified_vbn ._. 	y	misperception, making guesses	magnification, mindreading
she_subj_prp should_md know_vb better_jjr ._. 	y	absolute	shoulds and musts
she_subj_prp needs_vbz to_to learn_vb that_in she_subj_subj_prp 's_vbz not_rb as_rb smart_jj as_in she_subj_subj_prp would_md like_vb to_to think_vb ._. 	y	absolute, making guesses	shoulds and musts, mindreading
i_subj_prp got_vbd very_rb angry_jj and_cc frustrated_jj 	emotion	-	-
then_subj_rb decided_vbn to_to go_vb to_to bed_nn ._. 	situation	-	-
i_subj_prp really_rb am_vbp alone_rb in_i_subjn this_dt world_nn ._. 	y	absolute, absolute	labeling, black and white thinking
why_wrb do_vbp you_subj_subj_prp have_vb to_to call_vb when_wrb you_subj_subj_prp know_vbp it_subj_prp 's_vbz bedtime_nn ?_. 	y	misperception, making guesses	magnification, mindreading
i_subj_prp ca_md n't_rb deal_vb with_i_subjn this_dt ._. 	y	making guesses, making guesses, mispersecption	labeling, overgeneralization, magnification
he_subj_prp always_rb wants_vbz people_subj_nns to_to think_vb he_subj_prp 's_vbz such_jj a_dt good_jj guy_nn instead_rb of_in a_dt jerk_nn ._. 	y	misperception, absolute	magnification, black and white thinking
at_in first_jj i_prp was_vbd shocked_vbn ,_, 	emotion	-	-
then_rb i_subj_prp was_vbd angry_jj ._. 	emotion	-	-
then_rb for_i_subjn a_dt brief_jj period_nn i_subj_prp was_vbd sad_jj ._. 	emotion	-	-
2_cd days_nns later_rb i_subj_prp was_vbd extremely_rb relieved_jj ._. 	emotion	-	-
